Algorithm,Queens,Best result,Iterations,Time,Solved
hill_climbing,4,0,1,7.2479248046875e-05,True
hill_climbing,4,0,1,5.9604644775390625e-05,True
hill_climbing,4,1,2,0.0001125335693359375,False
hill_climbing,4,2,1,5.2928924560546875e-05,False
hill_climbing,4,1,2,0.00010895729064941406,False
hill_climbing,4,0,1,5.626678466796875e-05,True
hill_climbing,4,1,4,0.00021648406982421875,False
hill_climbing,4,0,3,0.00016641616821289062,True
hill_climbing,4,0,2,0.00011110305786132812,True
hill_climbing,4,1,2,0.00011086463928222656,False
hill_climbing,4,2,2,0.00011014938354492188,False
hill_climbing,4,2,1,5.340576171875e-05,False
hill_climbing,4,0,1,5.555152893066406e-05,True
hill_climbing,4,0,2,0.00011038780212402344,True
hill_climbing,4,2,1,5.245208740234375e-05,False
hill_climbing,4,1,3,0.00016188621520996094,False
hill_climbing,4,1,3,0.00016450881958007812,False
hill_climbing,4,1,2,0.00010776519775390625,False
hill_climbing,4,0,2,0.00011038780212402344,True
hill_climbing,4,0,2,0.00011086463928222656,True
hill_climbing,4,1,2,0.0001087188720703125,False
hill_climbing,4,0,1,5.5789947509765625e-05,True
hill_climbing,4,1,2,0.00011205673217773438,False
hill_climbing,4,1,3,0.00016236305236816406,False
hill_climbing,4,1,3,0.0001621246337890625,False
hill_climbing,4,0,2,0.00011014938354492188,True
hill_climbing,4,0,2,0.00010848045349121094,True
hill_climbing,4,1,3,0.00016236305236816406,False
hill_climbing,4,1,2,0.00010776519775390625,False
hill_climbing,4,1,2,0.00011682510375976562,False
hill_climbing,4,0,2,0.00010967254638671875,True
hill_climbing,4,1,2,0.00010800361633300781,False
hill_climbing,4,0,2,0.00011038780212402344,True
hill_climbing,4,1,2,0.00010514259338378906,False
hill_climbing,4,1,2,9.72747802734375e-05,False
hill_climbing,4,1,3,0.0001571178436279297,False
hill_climbing,4,1,3,0.00016117095947265625,False
hill_climbing,4,0,2,9.989738464355469e-05,True
hill_climbing,4,0,1,4.935264587402344e-05,True
hill_climbing,4,1,3,0.00014638900756835938,False
hill_climbing,4,0,0,2.384185791015625e-07,True
hill_climbing,4,2,1,4.673004150390625e-05,False
hill_climbing,4,0,1,5.054473876953125e-05,True
hill_climbing,4,0,2,9.965896606445312e-05,True
hill_climbing,4,0,3,0.0001499652862548828,True
hill_climbing,4,1,1,4.7206878662109375e-05,False
hill_climbing,4,1,3,0.00014543533325195312,False
hill_climbing,4,1,2,9.822845458984375e-05,False
hill_climbing,4,0,2,9.870529174804688e-05,True
hill_climbing,4,1,2,9.703636169433594e-05,False
simmulated_annealing,4,0,26,0.00054931640625,True
simmulated_annealing,4,2,200,0.0029845237731933594,False
simmulated_annealing,4,1,200,0.0030159950256347656,False
simmulated_annealing,4,1,200,0.0030002593994140625,False
simmulated_annealing,4,1,200,0.0029535293579101562,False
simmulated_annealing,4,0,7,0.00012183189392089844,True
simmulated_annealing,4,1,200,0.002911806106567383,False
simmulated_annealing,4,0,58,0.0008945465087890625,True
simmulated_annealing,4,0,88,0.001329660415649414,True
simmulated_annealing,4,0,45,0.0006899833679199219,True
simmulated_annealing,4,1,200,0.00405120849609375,False
simmulated_annealing,4,0,68,0.0010993480682373047,True
simmulated_annealing,4,1,200,0.0037102699279785156,False
simmulated_annealing,4,0,32,0.0006208419799804688,True
simmulated_annealing,4,0,32,0.0005202293395996094,True
simmulated_annealing,4,0,88,0.0014319419860839844,True
simmulated_annealing,4,0,12,0.00020575523376464844,True
simmulated_annealing,4,0,12,0.0002129077911376953,True
simmulated_annealing,4,1,200,0.002964019775390625,False
simmulated_annealing,4,1,200,0.002933979034423828,False
simmulated_annealing,4,0,26,0.0005171298980712891,True
simmulated_annealing,4,0,126,0.0025467872619628906,True
simmulated_annealing,4,0,50,0.0011086463928222656,True
simmulated_annealing,4,1,200,0.003007173538208008,False
simmulated_annealing,4,0,57,0.0015079975128173828,True
simmulated_annealing,4,1,200,0.0030586719512939453,False
simmulated_annealing,4,0,59,0.0009157657623291016,True
simmulated_annealing,4,1,200,0.002917051315307617,False
simmulated_annealing,4,0,51,0.0008180141448974609,True
simmulated_annealing,4,1,200,0.0030236244201660156,False
simmulated_annealing,4,0,72,0.0011091232299804688,True
simmulated_annealing,4,0,50,0.0008199214935302734,True
simmulated_annealing,4,0,68,0.0012974739074707031,True
simmulated_annealing,4,0,86,0.001985311508178711,True
simmulated_annealing,4,0,12,0.00022411346435546875,True
simmulated_annealing,4,0,41,0.0006475448608398438,True
simmulated_annealing,4,0,40,0.0006520748138427734,True
simmulated_annealing,4,0,140,0.002230405807495117,True
simmulated_annealing,4,1,200,0.0029363632202148438,False
simmulated_annealing,4,1,200,0.0029265880584716797,False
simmulated_annealing,4,0,0,9.5367431640625e-07,True
simmulated_annealing,4,0,57,0.000885009765625,True
simmulated_annealing,4,0,93,0.0014348030090332031,True
simmulated_annealing,4,0,68,0.0015621185302734375,True
simmulated_annealing,4,0,27,0.0005259513854980469,True
simmulated_annealing,4,1,200,0.003993988037109375,False
simmulated_annealing,4,1,200,0.003111600875854492,False
simmulated_annealing,4,0,8,0.00017547607421875,True
simmulated_annealing,4,0,36,0.0005702972412109375,True
simmulated_annealing,4,0,48,0.0007543563842773438,True
Genetic,4,0,1,0.019299983978271484,True
Genetic,4,0,1,0.013561010360717773,True
Genetic,4,0,1,0.014077186584472656,True
Genetic,4,0,1,0.012350320816040039,True
Genetic,4,0,1,0.014080047607421875,True
Genetic,4,0,1,0.01257777214050293,True
Genetic,4,0,1,0.015253067016601562,True
Genetic,4,0,1,0.01238703727722168,True
Genetic,4,0,1,0.023313283920288086,True
Genetic,4,0,1,0.012582063674926758,True
Genetic,4,0,1,0.014525890350341797,True
Genetic,4,0,1,0.019463777542114258,True
Genetic,4,0,1,0.014710187911987305,True
Genetic,4,0,1,0.01232147216796875,True
Genetic,4,0,1,0.04636120796203613,True
Genetic,4,0,1,0.01225423812866211,True
Genetic,4,0,1,0.01228952407836914,True
Genetic,4,0,1,0.011565685272216797,True
Genetic,4,0,1,0.012418985366821289,True
Genetic,4,0,1,0.011920928955078125,True
Genetic,4,0,1,0.01237034797668457,True
Genetic,4,0,1,0.01203775405883789,True
Genetic,4,0,1,0.01231074333190918,True
Genetic,4,0,1,0.011944770812988281,True
Genetic,4,0,1,0.017652511596679688,True
Genetic,4,0,1,0.0127410888671875,True
Genetic,4,0,1,0.02950429916381836,True
Genetic,4,0,1,0.014199018478393555,True
Genetic,4,0,1,0.012259721755981445,True
Genetic,4,0,1,0.013083219528198242,True
Genetic,4,0,1,0.012066364288330078,True
Genetic,4,0,1,0.011732339859008789,True
Genetic,4,0,1,0.01903820037841797,True
Genetic,4,0,1,0.012215137481689453,True
Genetic,4,0,1,0.01218557357788086,True
Genetic,4,0,1,0.011494159698486328,True
Genetic,4,0,1,0.012226581573486328,True
Genetic,4,0,1,0.011613607406616211,True
Genetic,4,0,1,0.011945486068725586,True
Genetic,4,0,1,0.009977340698242188,True
Genetic,4,0,1,0.011565923690795898,True
Genetic,4,0,1,0.011443614959716797,True
Genetic,4,0,1,0.012010335922241211,True
Genetic,4,0,1,0.011521577835083008,True
Genetic,4,0,1,0.011477231979370117,True
Genetic,4,0,1,0.007940292358398438,True
Genetic,4,0,1,0.0074160099029541016,True
Genetic,4,0,1,0.0058057308197021484,True
Genetic,4,0,1,0.008459806442260742,True
Genetic,4,0,1,0.005938291549682617,True
hill_climbing,8,1,3,0.0017309188842773438,False
hill_climbing,8,1,5,0.0026535987854003906,False
hill_climbing,8,0,5,0.002844572067260742,True
hill_climbing,8,2,4,0.0042877197265625,False
hill_climbing,8,0,4,0.004721164703369141,True
hill_climbing,8,1,5,0.005789041519165039,False
hill_climbing,8,2,2,0.0022263526916503906,False
hill_climbing,8,0,5,0.0042400360107421875,True
hill_climbing,8,2,4,0.0023386478424072266,False
hill_climbing,8,1,4,0.002267122268676758,False
hill_climbing,8,0,3,0.0017025470733642578,True
hill_climbing,8,1,5,0.0027844905853271484,False
hill_climbing,8,1,4,0.0022554397583007812,False
hill_climbing,8,1,5,0.0028526782989501953,False
hill_climbing,8,2,3,0.0021352767944335938,False
hill_climbing,8,1,5,0.0037567615509033203,False
hill_climbing,8,1,4,0.0022499561309814453,False
hill_climbing,8,1,5,0.0028226375579833984,False
hill_climbing,8,1,5,0.0027480125427246094,False
hill_climbing,8,0,6,0.003305673599243164,True
hill_climbing,8,0,4,0.002261638641357422,True
hill_climbing,8,1,4,0.0022258758544921875,False
hill_climbing,8,1,5,0.0026886463165283203,False
hill_climbing,8,2,5,0.00262451171875,False
hill_climbing,8,2,3,0.0015964508056640625,False
hill_climbing,8,2,4,0.0022296905517578125,False
hill_climbing,8,0,2,0.0011186599731445312,True
hill_climbing,8,1,4,0.002167224884033203,False
hill_climbing,8,2,3,0.0016090869903564453,False
hill_climbing,8,2,3,0.0016620159149169922,False
hill_climbing,8,1,4,0.0023956298828125,False
hill_climbing,8,2,4,0.0023279190063476562,False
hill_climbing,8,1,3,0.0017344951629638672,False
hill_climbing,8,2,4,0.002183675765991211,False
hill_climbing,8,0,6,0.0033948421478271484,True
hill_climbing,8,1,6,0.003332853317260742,False
hill_climbing,8,1,4,0.0022346973419189453,False
hill_climbing,8,1,4,0.002249479293823242,False
hill_climbing,8,0,5,0.002820253372192383,True
hill_climbing,8,1,4,0.0021905899047851562,False
hill_climbing,8,1,6,0.0032994747161865234,False
hill_climbing,8,3,2,0.0010480880737304688,False
hill_climbing,8,2,4,0.0020940303802490234,False
hill_climbing,8,1,4,0.0022182464599609375,False
hill_climbing,8,0,6,0.0033500194549560547,True
hill_climbing,8,1,5,0.002755880355834961,False
hill_climbing,8,1,5,0.0027179718017578125,False
hill_climbing,8,2,4,0.002291440963745117,False
hill_climbing,8,1,6,0.0033369064331054688,False
hill_climbing,8,0,4,0.002249002456665039,True
simmulated_annealing,8,1,200,0.007475137710571289,False
simmulated_annealing,8,2,200,0.007637977600097656,False
simmulated_annealing,8,2,200,0.01370382308959961,False
simmulated_annealing,8,0,85,0.006378650665283203,True
simmulated_annealing,8,2,200,0.012566328048706055,False
simmulated_annealing,8,1,200,0.014517068862915039,False
simmulated_annealing,8,2,200,0.01096034049987793,False
simmulated_annealing,8,2,200,0.007208108901977539,False
simmulated_annealing,8,2,200,0.007117033004760742,False
simmulated_annealing,8,1,200,0.0070154666900634766,False
simmulated_annealing,8,0,110,0.004003286361694336,True
simmulated_annealing,8,1,200,0.007178783416748047,False
simmulated_annealing,8,2,200,0.006912708282470703,False
simmulated_annealing,8,1,200,0.006631135940551758,False
simmulated_annealing,8,2,200,0.0066568851470947266,False
simmulated_annealing,8,1,200,0.007381916046142578,False
simmulated_annealing,8,0,124,0.004324197769165039,True
simmulated_annealing,8,2,200,0.006831169128417969,False
simmulated_annealing,8,1,200,0.006746530532836914,False
simmulated_annealing,8,1,200,0.006810665130615234,False
simmulated_annealing,8,1,200,0.006630420684814453,False
simmulated_annealing,8,2,200,0.006784915924072266,False
simmulated_annealing,8,1,200,0.00673985481262207,False
simmulated_annealing,8,0,167,0.005626678466796875,True
simmulated_annealing,8,0,62,0.0021224021911621094,True
simmulated_annealing,8,2,200,0.006569623947143555,False
simmulated_annealing,8,3,200,0.006616830825805664,False
simmulated_annealing,8,1,200,0.006678581237792969,False
simmulated_annealing,8,1,200,0.006713390350341797,False
simmulated_annealing,8,1,200,0.006677389144897461,False
simmulated_annealing,8,2,200,0.006586551666259766,False
simmulated_annealing,8,2,200,0.006775379180908203,False
simmulated_annealing,8,1,200,0.0074443817138671875,False
simmulated_annealing,8,0,76,0.0029218196868896484,True
simmulated_annealing,8,1,200,0.006732463836669922,False
simmulated_annealing,8,2,200,0.006495952606201172,False
simmulated_annealing,8,1,200,0.0066072940826416016,False
simmulated_annealing,8,2,200,0.006711006164550781,False
simmulated_annealing,8,2,200,0.006682157516479492,False
simmulated_annealing,8,1,200,0.00668025016784668,False
simmulated_annealing,8,2,200,0.006711483001708984,False
simmulated_annealing,8,2,200,0.007599592208862305,False
simmulated_annealing,8,2,200,0.0077381134033203125,False
simmulated_annealing,8,2,200,0.007387876510620117,False
simmulated_annealing,8,3,200,0.0070307254791259766,False
simmulated_annealing,8,1,200,0.007155179977416992,False
simmulated_annealing,8,0,110,0.004721164703369141,True
simmulated_annealing,8,0,54,0.0019834041595458984,True
simmulated_annealing,8,0,78,0.00279998779296875,True
simmulated_annealing,8,1,200,0.0072367191314697266,False
Genetic,8,0,45,0.6274893283843994,True
Genetic,8,1,200,2.5449345111846924,False
Genetic,8,0,45,0.6022951602935791,True
Genetic,8,1,200,2.4407668113708496,False
Genetic,8,0,45,0.5883049964904785,True
Genetic,8,1,200,2.4076623916625977,False
Genetic,8,0,45,0.5508556365966797,True
Genetic,8,1,200,2.385066032409668,False
