Algorithm,N,Steps,Time
Backtracking,4,26,3.218650817871094e-05
Backtracking,4,26,4.220008850097656e-05
Backtracking,4,26,5.7697296142578125e-05
Backtracking,4,26,5.364418029785156e-05
Backtracking,4,26,2.8848648071289062e-05
Backtracking,4,26,3.1948089599609375e-05
Backtracking,4,26,2.5272369384765625e-05
Backtracking,4,26,5.53131103515625e-05
Backtracking,4,26,5.078315734863281e-05
Backtracking,4,26,3.314018249511719e-05
Backtracking,4,26,3.600120544433594e-05
Backtracking,4,26,2.1696090698242188e-05
Backtracking,4,26,4.649162292480469e-05
Backtracking,4,26,2.956390380859375e-05
Backtracking,4,26,3.266334533691406e-05
Backtracking,4,26,3.528594970703125e-05
Backtracking,4,26,5.745887756347656e-05
Backtracking,4,26,2.86102294921875e-05
Backtracking,4,26,2.9325485229492188e-05
Backtracking,4,26,5.030632019042969e-05
Backtracking,4,26,4.1484832763671875e-05
Backtracking,4,26,2.9087066650390625e-05
Backtracking,4,26,4.1961669921875e-05
Backtracking,4,26,2.9087066650390625e-05
Backtracking,4,26,4.124641418457031e-05
Backtracking,4,26,2.6226043701171875e-05
Backtracking,4,26,3.218650817871094e-05
Backtracking,4,26,2.574920654296875e-05
Backtracking,4,26,3.075599670410156e-05
Backtracking,4,26,2.002716064453125e-05
Forward Checking,4,8,0.0007224082946777344
Forward Checking,4,8,0.0007102489471435547
Forward Checking,4,8,0.0007078647613525391
Forward Checking,4,8,0.0005974769592285156
Forward Checking,4,8,0.0006914138793945312
Forward Checking,4,8,0.0006003379821777344
Forward Checking,4,8,0.0008001327514648438
Forward Checking,4,8,0.0008463859558105469
Forward Checking,4,8,0.0006794929504394531
Forward Checking,4,8,0.0007262229919433594
Forward Checking,4,8,0.0007257461547851562
Forward Checking,4,8,0.0004978179931640625
Forward Checking,4,8,0.0005965232849121094
Forward Checking,4,8,0.0005900859832763672
Forward Checking,4,8,0.0005946159362792969
Forward Checking,4,8,0.0005803108215332031
Forward Checking,4,8,0.0005879402160644531
Forward Checking,4,8,0.0004723072052001953
Forward Checking,4,8,0.0005667209625244141
Forward Checking,4,8,0.0005631446838378906
Forward Checking,4,8,0.0005631446838378906
Forward Checking,4,8,0.0005676746368408203
Forward Checking,4,8,0.0005819797515869141
Forward Checking,4,8,0.00046539306640625
Forward Checking,4,8,0.0010058879852294922
Forward Checking,4,8,0.0005676746368408203
Forward Checking,4,8,0.0005707740783691406
Forward Checking,4,8,0.0005400180816650391
Forward Checking,4,8,0.0006394386291503906
Forward Checking,4,8,0.0005409717559814453
Backtracking,8,876,0.0012409687042236328
Backtracking,8,876,0.0012385845184326172
Backtracking,8,876,0.0013458728790283203
Backtracking,8,876,0.0011792182922363281
Backtracking,8,876,0.0013463497161865234
Backtracking,8,876,0.0013077259063720703
Backtracking,8,876,0.0014760494232177734
Backtracking,8,876,0.0012798309326171875
Backtracking,8,876,0.0009949207305908203
Backtracking,8,876,0.0010175704956054688
Backtracking,8,876,0.0010421276092529297
Backtracking,8,876,0.0009922981262207031
Backtracking,8,876,0.0011589527130126953
Backtracking,8,876,0.0014297962188720703
Backtracking,8,876,0.0010972023010253906
Backtracking,8,876,0.0010387897491455078
Backtracking,8,876,0.0008871555328369141
Backtracking,8,876,0.0009999275207519531
Backtracking,8,876,0.0010371208190917969
Backtracking,8,876,0.0010325908660888672
Backtracking,8,876,0.0009951591491699219
Backtracking,8,876,0.001004934310913086
Backtracking,8,876,0.0009975433349609375
Backtracking,8,876,0.000993490219116211
Backtracking,8,876,0.0009706020355224609
Backtracking,8,876,0.0010027885437011719
Backtracking,8,876,0.0009250640869140625
Backtracking,8,876,0.0010051727294921875
Backtracking,8,876,0.0008869171142578125
Backtracking,8,876,0.0007722377777099609
Forward Checking,8,75,0.009123802185058594
Forward Checking,8,75,0.009095907211303711
Forward Checking,8,75,0.009073257446289062
Forward Checking,8,75,0.009108781814575195
Forward Checking,8,75,0.009117841720581055
Forward Checking,8,75,0.009105682373046875
Forward Checking,8,75,0.009568929672241211
Forward Checking,8,75,0.009383440017700195
Forward Checking,8,75,0.009569644927978516
Forward Checking,8,75,0.010082483291625977
Forward Checking,8,75,0.008905649185180664
Forward Checking,8,75,0.009409904479980469
Forward Checking,8,75,0.009379148483276367
Forward Checking,8,75,0.014525890350341797
Forward Checking,8,75,0.008805990219116211
Forward Checking,8,75,0.009320974349975586
Forward Checking,8,75,0.009791851043701172
Forward Checking,8,75,0.009405374526977539
Forward Checking,8,75,0.009459972381591797
Forward Checking,8,75,0.009298563003540039
Forward Checking,8,75,0.009416341781616211
Forward Checking,8,75,0.00879359245300293
Forward Checking,8,75,0.012543201446533203
Forward Checking,8,75,0.00993800163269043
Forward Checking,8,75,0.009400129318237305
Forward Checking,8,75,0.009317874908447266
Forward Checking,8,75,0.00967097282409668
Forward Checking,8,75,0.010344266891479492
Forward Checking,8,75,0.009634971618652344
Forward Checking,8,75,0.005414724349975586
Backtracking,10,975,0.0013942718505859375
Backtracking,10,975,0.0012946128845214844
Backtracking,10,975,0.001458883285522461
Backtracking,10,975,0.0011358261108398438
Backtracking,10,975,0.0014882087707519531
Backtracking,10,975,0.0014793872833251953
Backtracking,10,975,0.001476287841796875
Backtracking,10,975,0.0011937618255615234
Backtracking,10,975,0.0011937618255615234
Backtracking,10,975,0.0011141300201416016
Backtracking,10,975,0.001195669174194336
Backtracking,10,975,0.0012276172637939453
Backtracking,10,975,0.0012297630310058594
Backtracking,10,975,0.0012178421020507812
Backtracking,10,975,0.001215219497680664
Backtracking,10,975,0.0012133121490478516
