id,especie,ultima_modificacion,altura,circ_tronco_cm,diametro_tronco,long,lat,seccion,nombre_seccion,area_seccion,inclinacion_peligrosa,circ_tronco_cm_cat
19573,Morera,14/07/2011 10:33,Alto (> 8 mts),140,Grande,-68.838042115,-32.8723640787,4,Cuarta Oeste,1173332.70145,0,medio
9617,Paraiso sombrilla,27/01/2011 11:10,Bajo (2 - 4 mts),60,Mediano,-68.8504050653,-32.8643277945,6,Residencial Norte,2694682.37982,0,bajo
17260,Fresno europeo,05/08/2011 11:12,Alto (> 8 mts),140,Grande,-68.8356323557,-32.8647993257,4,Cuarta Oeste,1173332.70145,0,medio
27324,Pltano,25/10/2011 09:20,Alto (> 8 mts),130,Grande,-68.8355467744,-32.8899174887,3,Parque O'Higgins,1531146.02653,0,medio
24090,Fresno americano,11/01/2011 11:44,Medio (4 - 8 mts),25,Mediano,-68.846495407,-32.9007275433,2,Barrio Civico,2366816.36021,0,bajo
46265,Morera,30/09/2011 15:11,Alto (> 8 mts),200,Grande,-68.8230455411,-32.8735087751,4,Cuarta Este Área Fundacional,1822015.85685,1,alto
47206,Morera,19/09/2011 11:03,Alto (> 8 mts),169,Grande,-68.832152359,-32.8741436816,4,Cuarta Este Área Fundacional,1822015.85685,0,medio
6516,Morera,06/05/2011 12:20,Alto (> 8 mts),122,Grande,-68.8512658803,-32.8926514444,5,Residencial Sur,2423808.92355,0,medio
42548,Fresno europeo,28/09/2011 11:10,Muy bajo (1 - 2 mts),15,Chico,-68.8302451943,-32.8754411642,4,Cuarta Este Área Fundacional,1822015.85685,0,bajo
35305,Morera,23/06/2011 16:02,Bajo (2 - 4 mts),40,Mediano,-68.8525714453,-32.8826072873,1,Parque Central,1655357.93265,0,bajo
34637,Morera,31/03/2011 12:04,Alto (> 8 mts),110,Grande,-68.8487604892,-32.8765313299,6,Residencial Norte,2694682.37982,0,medio
44317,Pltano,12/10/2011 16:58,Alto (> 8 mts),260,Grande,-68.8352649752,-32.8814698085,1,Parque Central,1655357.93265,0,muy alto
28313,Morera,10/03/2011 15:20,Medio (4 - 8 mts),156,Grande,-68.8496932219,-32.8921793428,5,Residencial Sur,2423808.92355,0,medio
18960,Morera,04/08/2011 11:27,Alto (> 8 mts),200,Grande,-68.8371960574,-32.8688009276,4,Cuarta Oeste,1173332.70145,0,alto
33030,Morera,19/05/2011 10:22,Alto (> 8 mts),170,Grande,-68.8516612747,-32.887288303,5,Residencial Sur,2423808.92355,0,medio
22030,Fresno europeo,16/05/2011 10:17,Alto (> 8 mts),130,Grande,-68.8574485346,-32.8930460225,5,Residencial Sur,2423808.92355,0,medio
20424,Pltano,17/05/2011 11:25,Alto (> 8 mts),180,Grande,-68.8613492919,-32.8933153108,5,Residencial Sur,2423808.92355,0,medio
6452,Fresno europeo,26/05/2011 09:35,Bajo (2 - 4 mts),8,Chico,-68.8505966369,-32.8888343445,5,Residencial Sur,2423808.92355,0,bajo
14620,Acer,13/12/2011 11:03,Medio (4 - 8 mts),90,Grande,-68.8798092892,-32.8664277359,8,Aeroparque,2203364.73622,0,medio
